Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
JPEP,JP Energy Partners LP,5,182963705,n/a,2014,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/jpep
JFC,"JPMorgan China Region Fund, Inc.",13.57,0,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/jfc
JMEI,Jumei International Holding Limited,7.63,1107915127,n/a,2014,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/jmei
JNPR,"Juniper Networks, Inc.",25.72,9924119433,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/jnpr
JP,Jupai Holdings Limited,8.81,258133000,n/a,2015,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jp
JE,"Just Energy Group, Inc.",6.6,969800086.2,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/je
LRN,K12 Inc,8.12,316190396.5,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/lrn
KAI,Kadant Inc,38.38,413728992.7,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kai
KAMN,Kaman Corporation,38.4,1040311219,n/a,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/kamn
KSU,Kansas City Southern,69.73,7610084868,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/ksu
KSU,Kansas City Southern,25.55,0,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/ksu
KS,KapStone Paper and Packaging Corporation,18.32,1764490489,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ks
KAR,"KAR Auction Services, Inc",33.6,4621172371,n/a,2009,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/kar
KATE,Kate Spade & Company,16.55,2113344736,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/kate
KED,Kayne Anderson Energy Development Company,15.27,161217712.9,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/ked
KYE,"Kayne Anderson Energy Total Return Fund, Inc.",7.66,276338268.7,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/kye
KMF,"Kayne Anderson Midstream Energy Fund, Inc",10.72,237354703.8,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/kmf
KYN,Kayne Anderson MLP Investment Company,15,1636649190,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/kyn
KYNE,Kayne Anderson MLP Investment Company,25.55,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kyne
KYNF,Kayne Anderson MLP Investment Company,25.302,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kynf
KYNG,Kayne Anderson MLP Investment Company,25.7101,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kyng
KB,KB Financial Group Inc,25.98,10037416984,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/kb
KBH,KB Home,10.08,928081707.8,n/a,1986,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/kbh
KBR,"KBR, Inc.",15.05,2171154087,n/a,2006,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/kbr
KAP,"KCAP Financial, Inc.",24.65,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kap
KCG,"KCG Holdings, Inc.",11.9,1075364813,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/kcg
K,Kellogg Company,71.48,25332347239,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/k
KEM,Kemet Corporation,1.84,84230712.24,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/kem
KMPA,Kemper Corporation,26.932,0,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kmpa
KMPR,Kemper Corporation,34.49,1767756427,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kmpr
KMT,Kennametal Inc.,17.18,1367668481,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kmt
KW,Kennedy-Wilson Holdings Inc.,20.77,2378107031,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/kw
KWN,Kennedy-Wilson Holdings Inc.,25.88,0,n/a,2012,Finance,Real Estate,http://www.nasdaq.com/symbol/kwn
KEN,Kenon Holdings Ltd.,9.25,496567694.5,n/a,2015,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/ken
KEG,"Key Energy Services, Inc.",0.3882,61168698.46,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/keg
KEY,KeyCorp,11.92,9957573746,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/key
KEYG,KeyCorp,131.84,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/keyg
KEYS,Keysight Technologies Inc.,25.45,4348146319,n/a,2014,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/keys
KRC,Kilroy Realty Corporation,58.98,5439157246,n/a,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krc
KRCG,Kilroy Realty Corporation,25.86,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/krcg
KRCH,Kilroy Realty Corporation,25.35,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/krch
KMB,Kimberly-Clark Corporation,125.23,45457790090,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/kmb
KIM,Kimco Realty Corporation,25.22,10423685791,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/kim
KIMI,Kimco Realty Corporation,25.66,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kimi
KIMJ,Kimco Realty Corporation,24.9,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kimj
KIMK,Kimco Realty Corporation,25.0255,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kimk
KMI,"Kinder Morgan, Inc.",14.77,32959472045,n/a,2011,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/kmi
KMI.WS,"Kinder Morgan, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kmi.ws
KMIA,"Kinder Morgan, Inc.",41.2,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kmia
KND,"Kindred Healthcare, Inc.",10.14,849699095.7,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/knd
KING,King Digital Entertainment plc,17.83,5633221950,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/king
